time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
581754,3.0768476,8.217288,-3.0056684,1.6082419,-1.516778,-3.117398,67.5,-172.5,-25.500002,,,,,,
581774,3.0343792,7.9840126,-2.8429735,1.509156,-1.722572,-2.088428,57.9,-172.5,-17.1,,,,,,
581794,2.9566207,7.9684606,-2.6144829,0.30488,-1.1432999,-2.13416,74.700005,-174.90001,-16.5,,,,,,
581814,2.7251394,7.6801558,-2.7622242,0.586894,-0.3811,-2.89636,67.5,-162.90001,-18.900002,,,,,,
581834,3.024211,7.866178,-2.857329,0.358234,-0.64787,-2.309466,79.5,-165.3,-24.300001,,,,,,
581854,3.2323647,8.1365385,-2.6892507,-0.030488,-0.632626,-1.8597679,77.100006,-170.1,-19.5,,,,,,
581874,2.987724,7.6119676,-2.7197561,-0.060976,-0.388722,-2.157026,67.5,-165.3,-18.300001,,,,,,
581894,3.0858195,7.8625894,-3.0517254,0.83842,0.0,-1.1051899,65.100006,-174.90001,-21.300001,,,,,,
581918,3.1581948,8.964369,-3.1898966,0.41158798,-0.68597996,-0.640248,74.700005,-172.5,-20.7,,,,,,
581938,3.1145306,8.868068,-3.5122955,0.60976,-0.221038,-0.594516,72.3,-177.3,-26.1,,,,,,
581958,3.0744548,8.858498,-3.547586,0.777444,-0.746956,-0.846042,77.100006,-165.3,-18.900002,,,,,,
581979,2.707195,9.046912,-3.4153965,0.56402797,-1.1356779,-0.480186,101.100006,-162.90001,-22.5,,,,,,
581999,2.363263,8.814235,-3.3807042,0.137196,-1.21952,-0.975616,81.9,-174.90001,-18.300001,,,,,,
582019,1.4205896,8.415274,-3.1019695,0.213416,-1.493912,-1.3948259,81.9,-162.90001,-19.5,,,,,,
582041,0.9953099,10.005137,-3.410013,0.72409,-1.18141,-0.548784,89.100006,-165.3,-19.5,,,,,,
582062,0.99710435,11.298323,-3.463846,-0.35061198,-1.6311079,-1.234764,79.5,-174.90001,-23.1,,,,,,
582082,0.8559426,10.268919,-2.6958303,-1.3567159,-2.416174,-3.4299,77.100006,-170.1,-18.900002,,,,,,
582104,0.15372275,8.798085,-1.9170482,-1.318606,-1.227142,-3.856732,98.700005,-174.90001,-29.7,,,,,,
582124,0.25660333,10.261143,-2.2226992,-1.570132,0.182928,-1.6006199,77.100006,-162.90001,-18.300001,,,,,,
582144,-0.32060462,9.600793,-2.012153,-2.2637339,1.478668,-2.7972739,89.100006,-172.5,-18.300001,,,,,,
