time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
126572,2.1383612,9.2592535,-1.3625697,0.655492,1.234764,1.013726,50.7,-172.5,-31.500002,,,,,,
126592,2.0946968,9.461426,-1.4702355,0.28201398,0.72409,0.20579399,36.300003,-174.90001,-29.7,,,,,,
126615,2.217316,10.045213,-1.8087844,-1.02897,0.67073596,-1.33385,41.100002,-182.1,-36.300003,,,,,,
126635,2.1539128,9.48894,-1.3924768,-1.082324,0.754578,-1.71495,65.100006,-167.70001,-29.7,,,,,,
126658,1.9924142,9.266431,-1.4164026,-0.602138,-0.259148,-2.2713559,50.7,-167.70001,-32.100002,,,,,,
126678,2.1616888,9.156971,-1.0036839,-0.518296,-0.548784,-2.7058098,67.5,-162.90001,-35.7,,,,,,
126701,2.18382,9.494324,-0.9085792,-0.586894,0.983238,-2.599102,50.7,-160.5,-31.500002,,,,,,
126721,2.020527,9.371106,-1.113144,-0.586894,1.9131219,-2.423796,62.7,-162.90001,-29.1,,,,,,
126743,1.7507645,9.336413,-1.4481041,-2.423796,2.126538,-3.071666,62.7,-172.5,-33.300003,,,,,,
126805,0.020935005,8.668288,-2.1832218,7.85066,0.82317597,-3.6966698,65.100006,-167.70001,-26.7,,,,,,
126846,1.2399504,9.502099,-0.9839452,0.67835796,0.56402797,-1.189032,69.9,-174.90001,-37.5,,,,,,
126866,1.2854092,9.654028,-1.238156,0.640248,0.541162,-1.1204339,67.5,-186.90001,-33.9,,,,,,
126886,1.1885101,9.516455,-1.1669769,0.068598,0.60976,-1.250008,89.100006,-172.5,-29.7,,,,,,
126926,1.0700778,9.469201,-1.1675751,-0.091464,0.182928,-1.3490939,72.3,-167.70001,-35.100002,,,,,,
126946,1.1932952,9.47937,-1.0640963,0.007622,0.053354,-1.3643379,84.3,-172.5,-27.900002,,,,,,
126966,1.1532197,9.363928,-1.0491427,-0.106708,0.129574,-1.478668,74.700005,-177.3,-32.100002,,,,,,
126986,1.0587131,9.322059,-1.1101533,0.129574,0.160062,-1.509156,81.9,-172.5,-30.900002,,,,,,
127006,0.97796375,9.320264,-1.2100432,0.442076,0.022866,-1.516778,81.9,-162.90001,-33.9,,,,,,
127029,1.0174412,9.242505,-1.2238005,0.69360197,-0.17530599,-1.417692,79.5,-182.1,-31.500002,,,,,,
127049,0.95702875,9.258655,-1.2824185,0.960372,-0.26677,-1.150922,77.100006,-174.90001,-30.300001,,,,,,
127110,1.0940034,9.491931,-1.3003628,1.06708,-0.67835796,-0.015244,81.9,-174.90001,-36.300003,,,,,,
127130,0.9725805,9.633093,-1.430758,0.541162,-0.388722,0.60976,84.3,-167.70001,-26.7,,,,,,
