time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
271389,1.9720774,8.351871,-2.6593437,-1.3414719,-0.297258,1.1051899,105.9,-148.5,-19.5,,,,,,
271409,1.8626173,8.38417,-2.5923517,-1.036592,-0.274392,1.265252,103.50001,-167.70001,-24.300001,,,,,,
271430,1.5868733,9.082801,-2.857927,-0.69360197,0.17530599,1.33385,103.50001,-162.90001,-24.300001,,,,,,
271450,1.7304276,10.8682575,-3.3065343,-0.28201398,0.35061198,1.684462,103.50001,-158.1,-20.7,,,,,,
271471,1.6891557,11.42154,-3.6432889,-1.234764,-0.586894,0.434454,91.5,-167.70001,-24.900002,,,,,,
271534,0.3200065,9.821507,-2.535528,-1.021348,-0.41921,1.3719599,110.700005,-167.70001,-21.300001,,,,,,
271603,-0.061608724,9.249084,-1.7459793,-1.242386,0.091464,-1.6234859,113.100006,-167.70001,-23.7,,,,,,
271705,-0.8906349,8.858498,-1.7047075,0.16768399,1.722572,0.030488,115.50001,-167.70001,-29.1,,,,,,
271725,-0.815867,9.301124,-1.740596,0.487808,1.493912,0.55640596,113.100006,-162.90001,-24.300001,,,,,,
271765,-0.7315289,9.516455,-2.1981754,0.327746,0.327746,0.091464,105.9,-167.70001,-24.900002,,,,,,
271823,0.046655152,9.868761,-1.7340164,0.182928,-1.051836,-0.56402797,110.700005,-160.5,-31.500002,,,,,,
271843,0.009570288,9.654626,-1.9272166,-0.40396598,-0.15244,-1.150922,113.100006,-162.90001,-26.1,,,,,,
271887,-0.061010584,9.069642,-2.431451,0.716468,0.099086,-0.388722,103.50001,-170.1,-23.1,,,,,,
271907,-0.12501188,8.650942,-2.5666316,1.082324,0.144818,0.198172,110.700005,-165.3,-24.900002,,,,,,
271929,0.2895012,9.231739,-2.6515677,1.3719599,-0.259148,1.1051899,113.100006,-170.1,-28.500002,,,,,,
271949,0.5347398,9.630102,-2.7783742,0.69360197,0.03811,1.082324,96.3,-158.1,-21.300001,,,,,,
271970,0.49645868,9.2706175,-2.8818529,0.060976,0.144818,0.754578,103.50001,-172.5,-29.1,,,,,,
271991,0.68128484,9.064857,-2.832207,-0.182928,-0.03811,0.861286,101.100006,-170.1,-26.7,,,,,,
272011,0.7183697,9.142017,-2.7628224,-0.274392,-0.007622,0.960372,91.5,-167.70001,-18.900002,,,,,,
272071,0.593956,9.3782835,-2.8435717,-0.426832,-0.289636,-0.213416,96.3,-155.70001,-24.300001,,,,,,
272122,0.64120924,9.310096,-2.515191,-0.625004,-0.28201398,-0.449698,101.100006,-167.70001,-18.900002,,,,,,
