time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
1450400,1.7382035,9.364527,-2.4105163,-0.297258,1.1051899,0.198172,45.9,-191.70001,-35.100002,,,,,,
1450440,2.883049,9.185681,-1.0006932,0.022866,0.93750596,0.373478,29.1,-165.3,-26.7,,,,,,
1450460,2.9063766,9.213795,-0.9839452,-0.274392,0.34298998,1.272874,26.7,-172.5,-32.7,,,,,,
1450480,3.1402507,9.254468,-0.97138417,-0.34298998,-1.493912,1.56251,29.1,-184.5,-26.7,,,,,,
1450500,3.0900066,9.155774,-0.8726906,-0.388722,-3.3155699,1.6006199,36.300003,-177.3,-35.7,,,,,,
1450520,3.017033,9.019398,-0.9085792,-0.22865999,-4.855214,1.6006199,41.100002,-182.1,-30.900002,,,,,,
1450540,3.125297,9.479968,-0.08134744,-0.53354,-4.397894,1.463424,31.500002,-196.50002,-26.7,,,,,,
1450560,3.0313885,9.115101,-0.28112718,-0.510674,0.137196,0.22865999,33.9,-189.3,-32.100002,,,,,,
1450581,3.5972319,10.416061,0.61429286,-0.442076,8.064075,-0.548784,33.9,-189.3,-33.300003,,,,,,
1450601,3.9591084,7.835075,-1.7561477,0.67835796,7.0960817,-6.265284,29.1,-177.3,-28.500002,,,,,,
1450621,1.07905,7.882328,-0.9444677,-0.144818,0.144818,-1.6006199,36.300003,-179.70001,-27.300001,,,,,,
1450641,3.647476,9.456042,-1.3224941,-0.47256398,-1.6387299,0.69360197,38.7,-198.90001,-30.300001,,,,,,
1450661,2.740093,8.298038,-0.0035888578,-0.358234,-2.2256238,-0.525918,38.7,-186.90001,-30.300001,,,,,,
1450681,2.8537402,8.19396,-0.6238631,0.34298998,-0.868908,-0.129574,21.900002,-177.3,-30.900002,,,,,,
1450701,2.5827813,7.587444,-0.35589507,0.11432999,-1.06708,-0.41158798,38.7,-189.3,-32.7,,,,,,
1450721,2.668316,7.82371,-0.5221788,0.716468,-0.449698,0.060976,24.300001,-189.3,-23.1,,,,,,
1450741,3.250309,9.4375,-0.90977544,1.6082419,0.20579399,0.34298998,29.1,-177.3,-23.1,,,,,,
1450764,3.7240381,9.845433,-1.6102009,1.806414,1.082324,-0.213416,31.500002,-174.90001,-27.300001,,,,,,
1450784,3.2407386,8.604286,-1.9983957,2.157026,0.198172,-1.1280559,21.900002,-191.70001,-30.900002,,,,,,
1450804,3.4668367,9.12168,-2.1389592,3.2088618,-0.57164997,-0.510674,26.7,-179.70001,-35.7,,,,,,
1450827,3.8747702,9.953099,-2.469134,2.7210538,-0.17530599,-1.25763,26.7,-189.3,-27.300001,,,,,,
1450847,4.112831,9.5984,-2.7705982,2.865872,-0.106708,-1.8597679,31.500002,-172.5,-34.5,,,,,,
1450867,3.9022849,8.622829,-2.627044,2.370442,-1.3795819,-1.935988,33.9,-186.90001,-29.1,,,,,,
1450929,3.9543233,8.134745,-2.175446,0.26677,-1.06708,-0.57164997,33.9,-182.1,-30.900002,,,,,,
1450949,4.01653,7.9935827,-2.1114447,-0.053354,-0.907018,-0.41158798,41.100002,-184.5,-24.900002,,,,,,
1450972,4.0476336,7.905656,-2.1389592,-0.23628199,-0.94512796,-0.20579399,29.1,-189.3,-23.7,,,,,,
1450992,4.0506244,7.8601966,-2.1317816,-0.3811,-1.059458,-0.091464,36.300003,-184.5,-19.5,,,,,,
1451013,4.2019544,8.117398,-2.2125309,-0.213416,-1.204276,0.015244,36.300003,-172.5,-23.1,,,,,,
1451034,4.108644,8.019901,-2.180231,-0.121952,-1.150922,-0.137196,50.7,-177.3,-20.1,,,,,,
1451054,4.045839,8.069547,-2.2681582,0.106708,-1.059458,-0.106708,41.100002,-186.90001,-32.7,,,,,,
1451094,3.7994041,8.192764,-2.2615786,0.327746,-1.3567159,-0.785066,38.7,-189.3,-25.500002,,,,,,
