time,sensor_accX,sensor_accY,sensor_accZ,sensor_gyroX,sensor_gyroY,sensor_gyroZ,sensor_magX,sensor_magY,sensor_magZ,label_Boxing_slip_left,label_Boxing_slip_right,label_Boxing_pullback,label_Boxing_roll_left,label_Boxing_roll_right,label_Boxing_recording_cut
563999,-0.33077306,9.760497,-2.9171433,0.69360197,-1.082324,-1.554888,96.3,-167.70001,-18.300001,,,,,,
564019,-0.34453034,10.217478,-2.9632003,0.777444,-1.204276,-1.242386,93.9,-148.5,-15.3,,,,,,
564101,-1.355392,9.420154,-3.5416045,1.935988,-0.830798,-2.576236,89.100006,-160.5,-18.300001,,,,,,
564203,-0.40015766,9.354358,-3.6307278,0.899396,0.434454,-2.835384,125.100006,-146.1,-18.300001,,,,,,
564227,-0.9420752,8.15867,-3.631326,0.95274997,-0.11432999,-3.940574,120.3,-138.90001,-19.5,,,,,,
564309,-0.18901318,9.308301,-3.4153965,-0.045732,0.144818,-1.48629,117.9,-148.5,-10.5,,,,,,
564329,0.39776507,10.261741,-3.5398102,0.053354,0.015244,-1.227142,113.100006,-150.90001,-9.3,,,,,,
564349,-0.30804363,9.625915,-3.9603045,-0.449698,0.365856,-2.7058098,125.100006,-141.3,-13.500001,,,,,,
564389,-0.7040143,9.186279,-5.044738,0.87653,-1.196654,-0.708846,127.50001,-143.70001,-11.1,,,,,,
564432,0.14774132,9.214991,-4.6942263,0.182928,-2.59148,0.632626,134.70001,-146.1,-11.700001,,,,,,
564454,0.5873764,9.131848,-4.3532844,-0.449698,-2.2332458,0.884152,122.700005,-150.90001,-9.900001,,,,,,
564474,0.92054206,8.954799,-4.020717,-1.02897,-1.532022,1.051836,122.700005,-143.70001,-12.3,,,,,,
564494,0.8876442,8.446975,-3.9333882,-1.3490939,-0.777444,0.746956,115.50001,-150.90001,-8.700001,,,,,,
564514,0.8272317,8.400918,-3.7659082,-0.846042,-0.47256398,0.975616,134.70001,-148.5,-11.1,,,,,,
564574,0.669322,8.570192,-3.3956575,-0.746956,0.213416,0.243904,122.700005,-150.90001,-5.7000003,,,,,,
564594,0.36247465,8.835768,-3.3777134,-0.655492,0.35061198,-0.099086,120.3,-150.90001,-12.900001,,,,x,,
564614,0.078954875,8.75143,-3.434537,-0.56402797,0.251526,-0.434454,122.700005,-148.5,-13.500001,,,,x,,
564634,0.15491903,8.884816,-3.3125157,-0.388722,0.015244,-0.19055,122.700005,-146.1,-8.1,,,,x,,
564657,0.12261931,8.411685,-3.1151285,-0.541162,0.182928,-0.15244,127.50001,-155.70001,-7.5000005,,,,x,,
564677,0.12860073,8.8489275,-3.204252,-0.144818,0.45731997,0.40396598,122.700005,-153.3,-20.1,,,,x,,
564697,-0.0017944289,8.915321,-3.4482942,-0.053354,0.640248,0.26677,134.70001,-148.5,-12.3,,,,x,,
564717,0.09450659,8.747841,-3.4303498,0.327746,0.442076,0.449698,120.3,-141.3,-11.1,,,,x,,
564737,0.19499461,9.236524,-3.572708,0.64787,0.373478,0.67835796,127.50001,-146.1,-14.1,,,,x,,
564817,0.30923992,8.757411,-3.706692,-0.106708,-0.487808,0.07622,122.700005,-155.70001,-11.700001,,,,x,,
564926,2.028303,8.869264,-5.345604,-0.72409,2.55337,-0.16768399,110.700005,-148.5,-18.900002,,,,x,,
564946,2.0354805,8.1168,-6.235042,0.16768399,2.919226,-0.754578,125.100006,-158.1,-8.700001,,,,x,,
564986,3.2933753,8.558827,-4.5973268,-1.3948259,1.29574,-0.160062,117.9,-150.90001,-11.1,,,,x,,
565007,3.091203,7.2136045,-4.133766,-2.141782,3.437522,-1.455802,117.9,-146.1,-17.7,,,,x,,
